ID,DepartmentName,Functions
550e8400-e29b-41d4-a716-446655440000,SSU,"['A&T Prop', 'Casting', 'Forging', 'Engine', 'RM, Steel, Tyres, Paints & Chemicals', 'Vehicle Prop', 'FES', 'CV Prop.', 'EE1', 'EE2', 'Ept', 'BIW', 'Trims', 'Swaraj']"
550e8400-e29b-41d4-a716-446655440001,SIMS,"['SIMS - Indirect Material', 'SIMS - Indirect Services', 'SIMS - Logistics & Packaging', 'SIMS - Sales & Marketing', 'SIMS - Travel & Hospitality']"
550e8400-e29b-41d4-a716-446655440002,SBU,"['SBU - AD', 'SBU - FD']"
550e8400-e29b-41d4-a716-446655440003,IL,"['IL - Imports', 'IL - Exports']"
550e8400-e29b-41d4-a716-446655440004,PCM,"['PCM']"
